"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Somerset Town Precinct 3,,3,3,3604,SOMERSET,273,1.054,674.41,2012,2729244.57346,7697.98552322
Peabody City Ward 4 Precinct 1,4,1,4-1,2798,PEABODY,229,0.85,543.88,2012,2200999.73167,7379.77138619
Montague Town Precinct 6,,6,6,1448,MONTAGUE,192,2.668,1707.58,2012,6910341.57127,14956.9869902
New Bedford City Ward 1 Precinct A,1,A,1-A,2642,NEW BEDFORD,201,0.473,302.42,2012,1223856.36443,5083.77390086
Peabody City Ward 6 Precinct 1,6,1,6-1,2776,PEABODY,229,1.827,1168.98,2012,4730726.85248,11200.3269086
Peabody City Ward 6 Precinct 2,6,2,6-2,2816,PEABODY,229,1.214,776.93,2012,3144128.92554,10871.3960708
Peabody City Ward 6 Precinct 3,6,3,6-3,2769,PEABODY,229,0.842,538.69,2012,2179993.63899,8541.44479381
Randolph Town Precinct 4,,4,4,2673,RANDOLPH,244,0.721,461.56,2012,1867883.25164,6620.15172742
Somerville City Ward 6 Precinct 3,6,3,6-3,3754,SOMERVILLE,274,0.167,106.91,2012,432653.483809,3244.55813045
Somerville City Ward 7 Precinct 1,7,1,7-1,3651,SOMERVILLE,274,0.161,103.07,2012,417092.588548,3019.85694051
Somerville City Ward 7 Precinct 2,7,2,7-2,3648,SOMERVILLE,274,0.123,78.97,2012,319570.889298,2981.75961825
Somerville City Ward 7 Precinct 3,7,3,7-3,3502,SOMERVILLE,274,0.238,152.14,2012,615711.384891,5586.2535576
Southborough Town Precinct 1,,1,1,3360,SOUTHBOROUGH,277,6.834,4373.77,2012,17700108.4775,20070.5667073
Pembroke Town Precinct 3,,3,3,3632,PEMBROKE,231,4.081,2611.68,2012,10569147.6461,17892.4042634
Newton City Ward 3 Precinct 2,3,2,3-2,2542,NEWTON,207,0.717,459.13,2012,1858049.79025,8748.63141251
Newton City Ward 3 Precinct 1,3,1,3-1,2679,NEWTON,207,0.406,260.16,2012,1052817.02335,5007.07021158
Pittsfield City Ward 2 Precinct B,2,B,2-B,3220,PITTSFIELD,236,2.475,1584.01,2012,6410303.8315,12173.9810636
Newton City Ward 6 Precinct 2,6,2,6-2,2668,NEWTON,207,0.369,236,2012,955046.467596,4598.30264552
Newton City Ward 6 Precinct 1,6,1,6-1,2686,NEWTON,207,0.312,199.72,2012,808242.197653,5234.74924847
Peabody City Ward 4 Precinct 2,4,2,4-2,2926,PEABODY,229,0.743,475.55,2012,1924483.1022,6510.64668165
Peabody City Ward 4 Precinct 3,4,3,4-3,2927,PEABODY,229,0.962,615.98,2012,2492777.14155,6622.19396334
Peabody City Ward 5 Precinct 1,5,1,5-1,2769,PEABODY,229,1.54,985.43,2012,3987923.36554,9773.37048026
Peabody City Ward 5 Precinct 2,5,2,5-2,2943,PEABODY,229,0.655,418.95,2012,1695446.83236,7350.4534543
Peabody City Ward 5 Precinct 3,5,3,5-3,2957,PEABODY,229,1.882,1204.34,2012,4873800.18834,13059.8161499
Pembroke Town Precinct 2,,2,2,3548,PEMBROKE,231,2.667,1706.66,2012,6906630.89284,12423.9671467
Pembroke Town Precinct 4,,4,4,3559,PEMBROKE,231,5.361,3430.91,2012,13884441.3304,18678.30024
Pittsfield City Ward 6 Precinct B,6,B,6-B,3120,PITTSFIELD,236,4.491,2874.13,2012,11631224.926,24281.9892228
Pittsfield City Ward 2 Precinct A,2,A,2-A,3232,PITTSFIELD,236,0.423,270.43,2012,1094381.5572,4985.83382962
Pembroke Town Precinct 1,,1,1,3593,PEMBROKE,231,6.859,4389.7,2012,17764542.7135,23616.9866583
Pembroke Town Precinct 5,,5,5,3505,PEMBROKE,231,4.512,2887.7,2012,11686149.0325,18128.8836862
Pittsfield City Ward 1 Precinct B,1,B,1-B,3105,PITTSFIELD,236,3.905,2498.89,2012,10112684.1525,14496.3066325
Pittsfield City Ward 5 Precinct A,5,A,5-A,3110,PITTSFIELD,236,4.368,2795.67,2012,11313738.0687,16522.0377126
Revere City Ward 1 Precinct 1,1,1,1-1,2926,REVERE,248,0.307,196.55,2012,795422.921512,5606.10532098
Revere City Ward 1 Precinct 2,1,2,1-2,2869,REVERE,248,0.174,111.46,2012,451062.42503,4928.70453103
Revere City Ward 1 Precinct 3,1,3,1-3,2875,REVERE,248,0.521,333.38,2012,1349144.73883,6177.53108575
